overall_text,label
Pros:Ease of use. Clean interface. Reliable.,1
"Great. Great. Great. No complaints thus far, save for the slight irritations noted above",1
Pros:Zoho is offering me all the features I could think of for support and some pretty cool customization features. I am very happy I found Zoho Desk.,1
"It's an average software that provides the functionality that we expect. Could improve, but overall a good software.",1
Support activity along with different parameters can be easily sorted and managened with help ofServiceNow.,1
Pros:A gestão de tickets é razoavelmente boa e a inclusão dos artigos na base de conhecimento também.,1
"All in all, Freshdesk has been a great solution for us! New agents are able to learn how to use it fairly quickly.",1
"Awesome functionality, high price!",1
customer service,1
"Great for independent ventures and simple to use while looking great. Yet, high level elements like review logs don't cover administrator board changes, and robotizing messages can be customized for WhatsApp source tickets. So it's really great for a starter and halfway organization however inside and out highlights and customizations can be gotten to the next level.",1
Overall experience has been great as it does the job for my business requirements.,1
Je l'utilise Dans Des projets Fintech il est devenu un outil non remplaçable,1
"After talking about positive and negative points, I must admit that my experience with this tool was good, since it helped us a lot to manage and work faster and more efficiently in my technical support work. Obvious with slight inconveniences from time to time, but in the end an excellent job was done with this one.",1
Ottimo Software per helpdesk .tutti i ticket monitorati e salvati.,1
"Essa ferramenta foi muito bem desenvolvida, muito prática e de fácil compreensão.",1
Pros:Il intègre tous les types de modèles agiles les plus utilisés dans le cadre de la gestion des projets et il s'agence parfaitement avec slack et d'autres logiciels,1
Pros:Il vantaggio principale è quello di poter far confluire le segnalazioni dei nostri utenti all'interno di un'unica piattaforma e di poterle categorizzare al fine di analizzare e migliorare il servizio di assistenza interna.,1
"Simplificou muito meu processo de suporte, também nos ajuda a centralizar consultas do cliente em só lugar, relatórios com métricas",1
"It's useful when it comes to communicationsvia emails. In think it's more reliable if they will put some label if which team that specifically agents coming from. In that way you will identify if that is coming from fraud Dept, CSR dept, etc..",1
Un très bon produit très sympa et techniques grâce à ses multiples fonctionnalités. Je le recommande,1
"Great tool to have a great communication to customers, easy to navigate, and this is what every businesses must have.",1
"It, product design, marketing - great to combine multitasks with all other departments",0
I started liking it more with time. It's a love-hate relationship we have :Dbut I can definitely recommend this tool.,1
"For the past two years, Zendesk Suite has helped us set up a high quality customer support department which is effective.",1
"JIRA Service Management is a widely used and well-regarded tool for service management and IT service desk operations. Many organizations find it to be an effective solution for managing incidents, requests, and support tickets, as well as tracking performance and progress. The customizable workflows and integration capabilities make it a versatile tool that can be adapted to meet the unique needs of different teams and organizations. However, the steep learning curve and limited customization options can be challenges for some users, and the setup process for some advanced features can be complicated. Overall, JIRA Service Management is a powerful tool that can deliver significant benefits to organizations that are looking to improve their service management processes.",1
Overall my experience on Freshdesk has been extremely pleasant and pain-free.,1
I love the software and use it daily. It is performing well and never is down or unavailable for use. It is a reliable and effective tool for our organization.,1
"Good and very use full , Goodmanagement softwareThey will be all things around you . all thing help to yours",1
Overall Zendesk offers different app that can improve and help your sale team stay on track and it is less expensive then other programs.,0
Pros:I enjoy using Zendesk for our customer support communication and for our database of support articles. The tool is easy to navigate through and there are great options for customizing and filtering and analysis of our support channels.,1
"Pros:L'outil est bien pensé pour effectuer du tracking poussé sur les demandes entrantes. De plus, l'historique de chaque lead/client est très avancé également.",1
Complete solution for being in touch with my customers.,1
"Pros:Zoho Desk provides a seamless ticket management system, allowing for organized and streamlined customer support.",1
It is good for Life chat and certain campaigns.,1
Easy to use helpdesk which helps us stay in touch with the customers. Thank you Freshdesk :),1
We have been able to automate workflow processes and improve service delivery to our customers. OTRS has minimized cost of operations and boosted productivity from all the departments.,1
"Good for starting, when you increase complexity you need to mode to a different solution",0
Zendesk is a market leader and a solid ticketing system,1
I have been working with JIRA Service Management for 4 years now and I found out that every process connected to software development can be easily described and tracked using this tool. I have also used the ticketing system a lot and found it very intuitive and always found what I needed.,1
"Is a brilliant solution for effectively managing teams of all sizes. Personally, I truly value its capacity to effortlessly tailor the workflow according to the unique requirements of each team.",1
"Freshdesk is great for customer support. Most importantly, it's a better way to manage customer requests than email. A handful of additional features would make it a robust system.",1
"We have been using ZOHO CRM for years and now wanted to expand usage by signing up for Desk and analytics as well. The DESK team took 1.5 weeks to actually book a call. They would take more than a day to respond to email, never had any booking calendar for the customer to pick time from, scheduling nightmare and then they WENT AWOL ON NOT ONE BUT TWO SCHEDULED MEETINGS!We gave them them a second chance and they still didn't show up. How unprofessional can you be! Wasted so much of our time!",0
Pros:Great ticket system easy to use with great features and great experience for the customers opening tickets.,1
Pros:We have to raise bugs daily and it is a very easy tool to set up,1
"Pros:JIRA Service Management is an effective service desk solution that has revolutionized our team's support process. With its powerful features, intuitive interface, and seamless integration with other Atlassian tools, it offers a comprehensive solution for managing customer requests and bugs.",1
Es mi gestor del día a día para mi y para mis clientes. Dependo de el día a día para poder gestionar incidencias de diversos tipos y poder mantener mi trabajo al día y mis tareas sin terminar como pendientes.,1
Our entire customer support hinges on this. so it is a mission critical software for us.,1
We are able to receive messages in a timely manner from our website.,1
"We have been trying Zoho Work area for quite a while and we can say that the underlying setup is easy to the point that in several hours your IT office will be working with this device. Before Zoho Work area, we utilized other help programming, yet the setup and revealing device needs a ton of design and backing from a specialist in the device, to get the maximum capacity, not at all like Zoho Work area which in couple of steps improves on the execution .",0
It has been great so far and we plan to use Freshdesk into the future!,1
Overall Zendesk has has helped our company tremendously. We have reduced out customer service handle time by giving the agents access to quick answers which allows them to help customers seamlessly.,1
Pros:1. Mobile Application is advantage 2. Alert by email and sms3. Chat will help to communicate with team,1
Freshdesk has been reliable and wonderful for helping us organize our emails and keep on top of important inquiries to our organization.,1
"Pros:Zendesk has helped to make it easy to manage our support and customer queries. The dashboard is easy to use and intuitive once you've spent a little time in the platform. It's helped to improve the communication around customer support between teams, and with our customers.",1
"Pros:Ease of ticket creation, tracking and assignment",1
Pros:It's a quick way to get IT help and track all previous requests!,1
Overall experience with Zendeck was positive and I would recommend it!,1
I have an awesome experience with Zendesk. It is very user friendly.,1
Overall I am so glad I chose freshdesk. It’s very easy to use and is a great value. The Support is also very responsive,1
Pros:Zoho really is a context aware help desk software. You can focus on the customer and Zoho lets you start with a free version and grow as needed.Makes customer service a real positive driving force in yor business.,1
"De modo geral é uma ótima opção para suporte e atendimento ao cliente, te dando inúmeras possibilidades de contato, podendo extrair relatórios diversos.",1
"I would recommend ZenDesk to all businesses in the customer service industry. Helps with faster response times, easy forms to fill out to help narrow down what the task or issue at hand is, easy to communicate both internally and externally",1
This software makes my daily job possible with ease and helps to keep track of all the little things we tend to not think about.,1
Pros:Pereless uses Zendesk to monitor and respond to client issues. The software is easy to use from our team and we like having the feature.,1
Was able to implement a cost-effective help desk solution that integrates with our CRM.,1
Pros:Zendesk made it easy to communicate with Clients and stay organized. I really liked that we could designate things to certain team members and see who was working on which email/ticket.,1
"Pros:zendesk chat has easy to use interface.Also, you can integrate it into your website by following some simple steps. It allows you to interact with your clients on live chat and answer their queries in just minimum seconds.",1
In the short time I've been using Jira Service Desk I've been impressed with the scope and capability and think that with the right amount of time invested into getting this setup properly it will do a fantastic job,1
I will continue to recommend Jira as the go-to platform for ticketing systems and service management. The main reason is Jira’s integration abilities. I have yet to meet a system that we cannot integrate into our jira instance.,1
"We used Zendesk for our support desk for several years. It's not the cheapest solution by any means,but has a professional polish that helps to mitigate the cost. The feature set is broad, and the dev team is actively working to expand their functions and integrations.",1
We have increased production on the helpdesk and have been able to provide better customer service with Zendesk. It allows for more detail to be placed in the tickets as it is worked on and keeps all of the users involved up to date on the status.,1
Pros:Un top produit de gestion clientèle et très simple et performant et qui facilite également les intégrations des autres produit. Je le recommande,1
Bon dans l'ensemble,1
"I use it on several of my websites, really good live chat app.",1
"Pros:Zoho Desk has a beautiful and well organized dashboard. Has a very stable cloud, I’ve never experienced any hitch or data issue. It’s pocket friendly, you don’t have to robe a bank to afford. Ticket creation and allocation to available agents is fast and easy. Live chat feature is superb, reduces the wait time to sort out clients. Zoho Desk reporting system is powerful, I’m able to build and customize in several ways. Integrates well with other Zoho products.",1
Overall its a god App if you want to implement ticketing in your organization.,1
The experience is good in the sense that it makes my work fast and it reduces stress.,1
"Pros:- Custom fields for the Companyes, Contacts, Tickets (like in Kayako, Zendesk. in JitBit only for tickets)- The task block (in addition to the tickets)- Manage ticket view, change order of fields (including custom fields) on the ticket form- The task block (for internal task)- Attachments in the Company- 10 agents for free (rich functionality s :(",1
"El uso que le doy en mi departamento es para generar los proyectos u órdenes de trabajo para realizar en servidores de nuestros clientes.Tras suimplementación, mejoró de forma sustancial cómo realizábamos las órdenes de trabajo, ya que antes, con el sistema de tickets, se perdía información a veces.",1
"8/10Optimized performance Amazing mobile app Chat support replies fast enough User friendly interface A lot of managing tools, abilities, etc.",1
Great for large businesses to have a comprehensive solution to customer support operations,1
Pros:I really like the user interface which is friendly and has so many useful features. Even non-technical users can use it with ease.,1
Pros:The feature that I really enjoy about this feature would have to be the automatic notification that is sent to our customer stating that we received their tickets and assigning that person a ticket number and that it is customizable.,1
Overall Zoho Desk is a great app in managing customers issues. Really helped the company with customers issues.,1
"Pros:It has alot of features to offer. Telephony integration is one good option as I can. Also the Chat, email and many other features.",1
"Overall, I highly rate this product. Zendesk has all the features you need for ticketing support management. If there was one thing I'd liketo see more are nice graph visuals of the team and type of request on one central dashboard but aside from that, I would recommend Zendesk to many of my colleagues.",1
"We are happy because we also use Zoho CRM and then we have all the end users' info in one place. We can check all the tracking since the lead born and how we attended each customer, including help desk ticketing.",1
"Document and analyze response times to incidents and projects, and with this data measure the quality of services provided to users.",1
Pros:I liked all integration the features to capture leads are quite confuse.,1
"I started using this service over a year ago. I stumbled upon it while trying to find an affordable option for a client with a small budget, and was so impressed that I adopted it myself. It's now my go-to recommendation for people who want an integrated service that connects their customer service ticketing system, CRM, live chat support and more. Back in the day, a service like this would've cost tens, if not hundreds, of thousands of dollars, and wouldn't have been half as easy to use, setup, or train people on. You really can't go wrong with this service, especially on the free tier.",1
overall im very satisfied with freshdesk,1
"Pros:from what i've seen/heard it's a more affordable option but with that, and the fact that FD is relatively new to the game, there are better options out there. but FD checks most of the boxes. the reporting and analytics leaves a lot to be desired and isn't very reliable. but if you're looking for a standard ticketing system that allows you to reach out to customers and prioritize work, FD will suit your needs. not a lot of bells and whistles but there are customization options and FreshWorks has been quite accommodating.",0
"Pros:Zendesk has a lot of functionality behind it - automated email responses, integrated knowledgebase solution, chat options.. if you need something to run your help desk, most likely Zendesk has the ability to take care of it.",1
being able to monitor the incoming requests and have a repository for them that isn't stuck in someone's email box is invaluable. I'm still learning the product but see a lot of potential.,1
Overall I am well pleased with Freshdesk. It does everything I need and a whole lot more. If you're in the market for a help desk solution you would be doing yourself and your organization a disservice by not at least giving them consideration.,1
"It did a good job replacing the mode of interaction from social channels, chats, e-mails, and phone calls in one platform. The experience in raising support request by customers is a breeze. Customers also has the option to raise tickets via their native language. The platform has support for 9 languages. It's able to simplify tasks of the help them since they can enhance their ability to track every request and address them by means of priority arrangement.",1
Pros:I have been really impressed with the customisation options available and the simple set up procedure,1
"Pros:To say the least. The ticketing system is very useful and not to forget the ease of use, and understanding. We mostly use it for Help Desk but it has greatly simplified many workloads since it was implemented.",1
"Pros:Uno de los puntos interesantes es la asignación de tickets Round-Robin, otro es que la curva de aprendizaje de Zoho Desk es relativamente sencilla, para tareas no complejas",1
"It's pretty good, it was the very first tool I learned about and it never disappoints, I've learned alot from it",1
Cost effective Ticketing Software .,1
Pros:The integration with JIRA and Confluence has allowed us to easily integrate our instances and train users.,1
Pros:Overall Freshdesk has nailed the UI/UX design and basics of a support system.Most controls are intuitive and the setup is a breeze.I like that contacts are automatically created with each email sent to the mail listener.The API was easy to use (for extracting ticket detail to local reports).The SLA configuration is simple.The flexibility in email notifications and format for the various help desk communication scenarios is very well done. The software does a good job tracking threads and appending to work orders (without the annoying tag in the email subject line).I first used the software in 2016; they were missing parent/child tickets at that time; they've added it.,1
"Pros:1) Gives the user (customer support guy) a complete outlook of and information about a support ticket created.2) Can also track the ticket details as in, who it was assigned to, assigned date, assignee, where did the ticket origin from.3) Support people are awesome too, have had no issues which they couldn't fix till date. But also didn't have many issues.4) The chatting system is incredible. The huge bubble of active users, the details of the users which are chatting with you in realtime, multiple ways to reach them back if you cannot take the chat currently is pretty good too.5) We haven't even started working on its API yet, from the looks of it, it seems really good and interesting.",1
Its nice to have,1
"Overall, our experience with Freshdesk has been positive. It has helped us solve various business problems related to customer support and ticket management. The benefits we have realized include improved response times, enhanced team collaboration, and better customer satisfaction.",1
"Pros:The software is easy to configure, very nice GUI and works as exptected. It is easy to navigate and you do not need a manual.",1
"Whilst Freshdesk does have some issues that can cause complications, these are a very small price to pay for the level of detail you can record in reporting. The change this program has made to our customer service team has been astounding and we have plans to futher these as well. Would highly recommend this product to any business.",1
Pros:I like how it solves the problem of ticket management for our department. The interface is easy to use and navigate.,1
Pros:- Ease of doing business- Ticketing tool- Escalation rules set up ease- Migration is smooth- free version,0
"Pros:It is best in class period. I did a ton of research when selecting our new ticketing platform. Go live was generally uneventful and easy, the process of creating and standing up everything as well as internal testing took a month. I really came to Zendesk for its analytics and its ability to expand with tons of app integrations.The analytics really allow me to dive into valuable buisness metrics such as time to first response total time spent per client per month - resolutions times - tagging I could go on and on.",1
"Pros:For both internal and external users, we are required to use 2 different remote connect tools to support remotely. It costs software itself and license, however ZOHO Desk is equipped with this remote connect tool by default.",1
"Pros:Easy to manage and assign different people to tasksGreat features: batch updates, dashboards and follow issuesThis tool allows to create and manage agile projectEasy to configure and use",1
ZenDesk makes my life easier when I am learning new products. It is also makes the lives easier of my clients.,1
Great app to support your customers,1
Complete small business help,1
Easy to use and agents can chat with each other,1
"Overall, i was very satisfied when we first started with them, but every year I have found more experiences that were negative.Moving away from them will take a long time, but I am not happy with their service at the moment.",0
"Pros:JIRA offers a host of features which helps me in prioritising workflow and keep track of the various user stories, tasks, issues etc. during each sprint. It is highly configurable and adaptable to a wide range of use cases.",1
"Pros:Not only is the software easy to use, but it also integrates with so many applications.It is also very easy to customize exactly how you want it to look and function.If you are looking to Manage your help desk, Zendesk is the way to go.",1
We use Freshdesk as our support platform for our SaaS product.It's been great so far and the portal for customers has been a huge benefit for us.We came from using Zendesk where I felt we were being overcharged and has to purchase too many different products to accomplish the end goal of a support platform.,1
We are very happy with the product.,1
Pros:It's convenient for managers to track and assign tasks to different persons.,1
"Reasonably good, just it was very expensive for the limited use we had for it.",1
Pros:- Has tons of features- Covers almost every requirement- Good channel management- Categorisation is great.- Better for larger teams- Fairly usable UI...,1
"as I said in the pros section, it is so easy to configurate and start working wit it. You can classify the tickets according to many and various parameters that suit your needs and create custom labels for them as well. I use every day and every hour in my job.",1
don't have any bad problems with this product. Will be much better to have an easy way of learning. I will not tell that everything was simple and smooth. A lot of useful tools to use. We don't have the big bad issue with this software.,1
"Overall positive. I liked being an admin greatly as well as I like being a user submitting my concerns to different companies and brands. Seeing them use Zendesk makes me feel good knowing they are using a trustworthy product. I also know if they don't respond easily it must be on them as a company, as everything is tracked, such as time and date, so it is easy to set TTR metrics using this product.",1
This tool is great for support organizations.IT saves us lots of time being able to sort issues out by priority.,1
"From a customer standpoint - Freshdesk is seamless - it's solutions center and ticketing is easy for the customers to use.We love the canned responses, and features that make our support team be able to respond quickly to customer issues.",1
"Pros:Having trialed Zoho Desk, I found it simple to use, and it has a good interface. Also, the CRM integration is a real bonus for us.",1
"Zendesk is designed as a solution of customer-directed support tickets which facilitates users to send tickets for the service request. Zendesk is proactive, it can integrate a large number of communication channels. It facilitates the communication of the company with its clients by integrating all communication channels. It has been reduced by customer service work thanks to Zendesk.",1
"The overall experience has been horrible, If I could move away from them I would.",0
"Pros:Ease of use platform, great options availability",1
Freshdeks is helping us keep our customers happy by providing a platform to address their concerns and issues and resolve them. It is making our business grow.,1
